Date, Crime, Crime Type, PD
2016-01-05,3,DECEPTIVE PRACTICE,12
2016-02-07,5,BATTERY,10
2016-02-08,1,BATTERY,14
2016-02-08,5,CRIMINAL DAMAGE,19
2014-12-31,1,DECEPTIVE PRACTICE,9
2016-01-14,1,THEFT,17
2016-03-11,3,DECEPTIVE PRACTICE,2
2016-01-23,2,DECEPTIVE PRACTICE,24
2016-03-31,4,DECEPTIVE PRACTICE,1
2014-08-01,1,DECEPTIVE PRACTICE,6
2016-02-25,6,THEFT,11
2012-07-31,1,DECEPTIVE PRACTICE,1
2016-01-17,1,ASSAULT,5
2016-02-08,4,DECEPTIVE PRACTICE,2
2016-02-19,3,DECEPTIVE PRACTICE,4
2016-01-10,2,DECEPTIVE PRACTICE,16
2016-02-17,12,THEFT,1
2016-03-02,4,THEFT,9
2012-11-01,1,DECEPTIVE PRACTICE,25
2016-02-03,7,THEFT,19
2016-02-24,5,OTHER OFFENSE,4
2016-02-24,1,BATTERY,12
2014-01-01,1,OFFENSE INVOLVING CHILDREN,17
2016-04-17,17,BATTERY,7
2015-09-29,1,DECEPTIVE PRACTICE,17
2016-02-25,8,BATTERY,11
2016-02-25,3,ASSAULT,12
2016-02-25,7,OTHER OFFENSE,15
2016-02-25,15,THEFT,1
2016-01-31,2,OTHER OFFENSE,12
2016-03-05,5,BURGLARY,5
2014-08-02,1,OFFENSE INVOLVING CHILDREN,19
2016-02-19,3,ASSAULT,16
2016-01-15,3,BURGLARY,4
2016-01-17,1,DECEPTIVE PRACTICE,3
2014-01-02,1,DECEPTIVE PRACTICE,6
2016-01-14,2,DECEPTIVE PRACTICE,7
2014-06-01,1,ASSAULT,12
2016-02-05,5,CRIMINAL DAMAGE,12
2016-02-24,5,THEFT,3
2016-02-19,1,DECEPTIVE PRACTICE,6
2016-03-07,2,BURGLARY,10
2016-02-27,6,BATTERY,6
2014-10-08,1,DECEPTIVE PRACTICE,6
2016-03-07,6,THEFT,7
2016-03-07,6,THEFT,14
2016-03-02,4,OTHER OFFENSE,16
2016-01-05,1,DECEPTIVE PRACTICE,5
2016-04-18,2,BATTERY,20
2016-03-09,12,THEFT,8
2014-10-01,1,DECEPTIVE PRACTICE,8
2016-03-03,8,BATTERY,15
2016-03-03,5,OTHER OFFENSE,6
2016-02-01,5,THEFT,6
2015-08-01,2,DECEPTIVE PRACTICE,14
2016-02-12,6,DECEPTIVE PRACTICE,22
2016-01-06,1,SEX OFFENSE,12
