Date, Lights Per Day, PD
11/28/2011,139,10
3/3/2013,37,8
3/17/2016,1,nan
8/6/2016,20,20
10/25/2016,110,19
2/24/2012,87,11
8/17/2014,37,18
7/13/2017,114,11
9/12/2013,24,1
8/21/2016,359,10
2/4/2011,67,5
12/25/2011,52,21
4/13/2015,316,8
1/27/2009,1,4
10/12/2016,199,14
7/16/2012,22,18
8/11/2017,160,4
12/31/2010,126,6
12/5/2012,28,14
10/13/2012,78,22
2/4/2014,19,19
9/3/2017,150,25
5/15/2012,57,4
5/11/2013,37,8
5/30/2015,161,7
1/20/2016,140,9
12/24/2013,28,10
8/9/2016,1,nan
10/23/2012,54,25
6/1/2017,1,31
8/29/2017,67,5
3/24/2015,23,20
11/1/2012,41,14
6/26/2011,59,12
4/10/2017,189,25
10/14/2013,134,4
8/13/2008,1,4
3/20/2011,110,9
12/15/2014,78,15
10/8/2012,35,7
8/1/2014,333,22
5/8/2011,89,25
1/30/2013,2,7
1/14/2017,55,19
4/5/2014,125,22
3/10/2014,1,31
7/24/2017,1,nan
5/22/2014,37,15
9/17/2013,94,22
7/25/2012,25,13
6/4/2013,11,2
3/19/2015,54,17
7/27/2016,445,6
2/28/2017,16,0
5/1/2012,68,15
7/10/2004,1,4
5/19/2011,71,10
5/26/2017,96,11
11/16/2010,1,2
11/24/2014,44,24
8/1/2011,352,4
10/7/2015,228,25
8/13/2011,72,3
8/16/2014,51,15
3/9/2014,97,6
3/29/2014,16,24
2/26/2016,227,22
7/29/2011,374,16
3/10/2013,1,20
8/2/2013,55,11
8/13/2014,403,22
6/5/2014,11,1
7/18/2015,84,2
9/3/2016,13,0
1/12/2014,3,20
10/20/2015,86,19
9/2/2014,1,nan
10/20/2004,1,4
1/2/2005,1,4
8/24/2017,94,15
1/13/2013,9,5
6/24/2011,45,23
4/12/2016,51,1
10/23/2015,210,3
10/22/2012,20,1
11/7/2007,1,4
6/15/2013,15,24
10/3/2014,196,5
4/6/2012,33,5
1/10/2016,98,25
5/28/2012,11,3
10/16/2015,50,11
5/16/2012,16,17
3/22/2013,15,10
10/12/2010,8,6
4/21/2017,117,12
7/13/2016,194,7
1/6/2013,21,22
8/5/2005,1,4
2/12/2015,146,25
8/26/2012,26,17
3/18/2016,1,nan
8/2/2016,627,8
7/17/2004,1,4
5/15/2013,9,3
2/2/2014,93,7
8/12/2015,162,10
2/14/2012,7,19
3/26/2014,56,12
9/4/2017,143,4
8/22/2015,194,10
2/5/2011,2,0
7/2/2017,102,7
2/22/2011,91,6
12/12/2016,128,18
4/8/2016,1,nan
12/10/2014,225,6
11/9/2016,1,nan
8/5/2014,6,0
3/17/2016,148,25
7/14/2016,1,nan
12/15/2016,1,nan
3/3/2012,29,24
8/11/2015,8,0
8/28/2017,153,9
3/12/2017,1,nan
9/23/2017,112,11
12/15/2016,154,14
9/18/2011,134,10
9/6/2013,29,15
8/27/2011,108,14
8/28/2016,149,2
10/18/2014,373,8
9/11/2011,423,8
6/20/2017,54,19
11/4/2016,162,11
3/17/2017,151,10
3/14/2012,8,23
12/7/2016,1,nan
11/21/2012,29,14
7/14/2012,38,16
7/30/2014,175,3
10/4/2016,82,17
10/14/2008,1,4
4/14/2012,21,13
11/19/2006,1,4
5/30/2014,15,20
10/11/2010,1,14
12/16/2016,155,14
3/8/2011,97,17
10/2/2016,166,12
5/3/2011,112,17
3/14/2014,23,1
10/21/2016,345,22
3/19/2014,239,8
10/25/2013,137,4
7/4/2015,10,20
7/5/2015,89,14
9/17/2011,80,18
1/23/2011,2,0
5/18/2013,1,nan
3/8/2017,1,nan
3/16/2016,1,nan
11/16/2012,38,9
4/22/2011,71,24
10/1/2011,97,12
8/15/2015,154,15
10/15/2016,1,nan
6/15/2016,93,2
2/26/2014,14,20
2/14/2017,163,3
6/19/2016,132,16
5/30/2011,80,9
3/4/2013,4,18
9/17/2012,83,16
11/17/2013,31,18
4/1/2012,128,16
8/6/2015,294,6
8/23/2011,137,7
1/16/2017,236,6
4/23/2012,30,6
5/22/2016,175,25
5/18/2013,19,11
3/31/2014,43,10
2/25/2011,117,4
5/4/2016,180,25
1/26/2014,23,24
1/24/2016,1,nan
2/17/2015,229,6
10/22/2011,473,16
9/29/2011,75,19
7/4/2005,1,4
3/5/2012,5,2
7/7/2014,36,20
11/28/2008,1,4
1/10/2013,16,17
7/3/2016,118,5
8/15/2016,528,22
9/16/2016,57,1
11/12/2015,3,31
10/20/2011,495,16
7/30/2013,98,8
4/22/2015,200,16
9/2/2012,63,10
3/5/2013,11,24
10/25/2010,34,22
1/18/2015,1,nan
9/29/2016,122,11
10/31/2014,303,4
5/21/2010,1,4
7/9/2014,21,18
6/29/2011,294,22
7/22/2015,81,17
4/3/2016,129,11
10/7/2010,1,19
1/3/2015,119,25
6/15/2017,94,14
8/9/2011,217,9
4/5/2017,10,20
4/27/2006,1,4
5/24/2012,62,11
11/1/2011,133,14
10/22/2010,34,22
1/8/2013,17,14
12/1/2016,250,10
10/18/2011,159,10
8/14/2017,192,10
8/4/2015,1,nan
7/19/2016,177,3
4/20/2012,9,1
8/12/2010,1,25
12/18/2016,463,8
7/18/2011,58,20
6/3/2014,49,2
3/4/2012,50,10
8/27/2017,110,11
10/26/2010,12,14
4/19/2011,159,8
8/22/2017,156,9
3/13/2017,35,24
6/2/2011,65,5
3/12/2011,110,6
3/30/2016,1,nan
2/1/2012,77,13
9/4/2014,1,nan
12/24/2016,192,4
9/6/2010,1,1
3/25/2014,131,22
12/17/2014,37,1
1/28/2014,22,14
11/2/2016,1,nan
4/3/2017,132,22
10/27/2012,67,5
8/25/2010,1,1
1/7/2012,236,8
3/15/2011,57,12
6/7/2015,158,3
6/6/2011,287,4
4/6/2007,1,4
9/22/2012,101,22
9/11/2013,154,8
5/18/2011,102,25
1/5/2017,1,nan
11/1/2016,104,19
7/7/2012,39,14
11/2/2012,12,24
6/2/2016,97,18
2/23/2016,1,nan
9/9/2016,308,25
8/3/2013,91,8
2/15/2011,36,18
11/20/2015,1,nan
6/17/2015,170,6
10/20/2011,309,25
2/15/2015,145,7
3/14/2017,159,9
4/9/2017,88,15
6/24/2012,93,4
7/31/2015,355,22
8/3/2016,1,nan
7/10/2013,22,3
8/22/2016,307,14
6/8/2015,301,8
5/9/2014,16,19
2/18/2011,38,7
12/10/2016,171,25
12/3/2014,315,8
6/28/2015,278,25
5/3/2012,20,18
9/15/2011,51,21
12/17/2015,99,2
6/9/2015,219,6
10/3/2011,225,6
