Date,In degrees Fahrenheit
1/1/12,38.41
1/2/12,24.8
1/3/12,18.7
1/4/12,30.99
1/5/12,35.8
1/6/12,46.8
1/7/12,40.8
1/8/12,33.69
1/9/12,35.01
1/10/12,40.21
1/11/12,41.79
1/12/12,36.19
1/13/12,20.5
1/14/12,18.1
1/15/12,14.79
1/16/12,28.9
1/17/12,41.9
1/18/12,19.6
1/19/12,20.3
1/20/12,6.296
1/21/12,22.21
1/22/12,18.1
1/23/12,40.89
1/24/12,30.2
1/25/12,27.61
1/26/12,32.4
1/27/12,35.29
1/28/12,34.9
1/29/12,30.09
1/30/12,23.79
1/31/12,45.7
2/1/12,42.6
2/2/12,36.61
2/3/12,35.49
2/4/12,36.81
2/5/12,32.2
2/6/12,32.5
2/7/12,31.5
2/8/12,30.7
2/9/12,26.1
2/10/12,31.69
2/11/12,14.7
2/12/12,17.6
2/13/12,25.5
2/14/12,29.19
2/15/12,34.9
2/16/12,40.21
2/17/12,35.01
2/18/12,35.91
2/19/12,31.69
2/20/12,28.4
2/21/12,37.99
2/22/12,37.6
2/23/12,35.71
2/24/12,34.7
2/25/12,25.59
2/26/12,23
2/27/12,41.4
2/28/12,28.99
2/29/12,42.3
3/1/12,36
3/2/12,37.09
3/3/12,33.1
3/4/12,30.09
3/5/12,27.1
3/6/12,33.01
3/7/12,59.9
3/8/12,60.8
3/9/12,37.29
3/10/12,30.9
3/11/12,48.79
3/12/12,58.3
3/13/12,55.51
3/14/12,55.6
3/15/12,69.91
3/16/12,56.8
3/17/12,69.1
3/18/12,69.6
3/19/12,71.1
3/20/12,73.9
3/21/12,73.8
3/22/12,72
3/23/12,64.4
3/24/12,54.81
3/25/12,56.41
3/26/12,47.19
3/27/12,44.49
3/28/12,64.6
3/29/12,47.8
3/30/12,40.8
3/31/12,41
4/1/12,50.2
4/2/12,46.9
4/3/12,58.1
4/4/12,49.21
4/5/12,46.51
4/6/12,39.79
4/7/12,50.7
4/8/12,56.19
4/9/12,50.9
4/10/12,42.1
4/11/12,37.09
4/12/12,40.89
4/13/12,49.89
4/14/12,56.1
4/15/12,61.11
4/16/12,66.7
4/17/12,46.9
4/18/12,45.3
4/19/12,62.8
4/20/12,46.6
4/21/12,42.01
4/22/12,42.8
4/23/12,43.3
4/24/12,44.91
4/25/12,55.2
4/26/12,52.5
4/27/12,41.2
4/28/12,46
4/29/12,46
4/30/12,52.59
5/1/12,55.09
5/2/12,60.6
5/3/12,76.1
5/4/12,73.51
5/5/12,53.91
5/6/12,55
5/7/12,58.6
5/8/12,56.1
5/9/12,59.2
5/10/12,48.2
5/11/12,53.4
5/12/12,62.01
5/13/12,52.9
5/14/12,56.7
5/15/12,64.8
5/16/12,66.2
5/17/12,54.61
5/18/12,60.49
5/19/12,71.1
5/20/12,81.1
5/21/12,69.4
5/22/12,56.8
5/23/12,56.8
5/24/12,71.29
5/25/12,81
5/26/12,67.5
5/27/12,71.71
5/28/12,84
5/29/12,79.59
5/30/12,67.6
5/31/12,54.3
6/1/12,53.71
6/2/12,52.2
6/3/12,62.4
6/4/12,70
6/5/12,61.39
6/6/12,59.9
6/7/12,61.59
6/8/12,68.4
6/9/12,78.6
6/10/12,81.5
6/11/12,80.6
6/12/12,76.89
6/13/12,63.39
6/14/12,63
6/15/12,72.39
6/16/12,81.1
6/17/12,72
6/18/12,76.6
6/19/12,82.6
6/20/12,83.5
6/21/12,82.99
6/22/12,73.09
6/23/12,75.7
6/24/12,75.4
6/25/12,71.01
6/26/12,64.8
6/27/12,76.41
6/28/12,81.61
6/29/12,83.1
6/30/12,76.8
7/1/12,80.49
7/2/12,77.59
7/3/12,87.01
7/4/12,86.11
7/5/12,90.1
7/6/12,90.1
7/7/12,89.49
7/8/12,78.21
7/9/12,76.3
7/10/12,75.09
7/11/12,72.39
7/12/12,80.2
7/13/12,79.9
7/14/12,78.21
7/15/12,80.8
7/16/12,80.91
7/17/12,89.49
7/18/12,85.1
7/19/12,75.09
7/20/12,75.79
7/21/12,78.21
7/22/12,82.09
7/23/12,87.69
7/24/12,88.59
7/25/12,77
7/26/12,90.1
7/27/12,74.3
7/28/12,73.2
7/29/12,73.6
7/30/12,79.7
7/31/12,83.7
8/1/12,74.1
8/2/12,79.11
8/3/12,80.4
8/4/12,83.1
8/5/12,73.8
8/6/12,75.09
8/7/12,76.1
8/8/12,82.8
8/9/12,75.7
8/10/12,66.2
8/11/12,66.7
8/12/12,69.01
8/13/12,71.91
8/14/12,64.6
8/15/12,71.6
8/16/12,78.49
8/17/12,66.99
8/18/12,66.4
8/19/12,69.3
8/20/12,69.91
8/21/12,64.29
8/22/12,66.7
8/23/12,74.89
8/24/12,80.01
8/25/12,82
8/26/12,82.4
8/27/12,75.31
8/28/12,75.4
8/29/12,75.9
8/30/12,74.89
8/31/12,82.29
9/1/12,76.1
9/2/12,76.6
9/3/12,77.9
9/4/12,79.59
9/5/12,74.3
9/6/12,77.9
9/7/12,73.71
9/8/12,64.4
9/9/12,63
9/10/12,61.5
9/11/12,71.49
9/12/12,74.89
9/13/12,69.01
9/14/12,57.31
9/15/12,62.4
9/16/12,67.8
9/17/12,68.7
9/18/12,57.7
9/19/12,58.6
9/20/12,65.19
9/21/12,58.6
9/22/12,54.3
9/23/12,50.31
9/24/12,49.21
9/25/12,64.4
9/26/12,66.6
9/27/12,57.9
9/28/12,56.41
9/29/12,54.9
9/30/12,59.11
10/1/12,58.21
10/2/12,60.4
10/3/12,64.2
10/4/12,62.1
10/5/12,52.81
10/6/12,43.81
10/7/12,44.8
10/8/12,40.41
10/9/12,50.9
10/10/12,47.89
10/11/12,42.4
10/12/12,50.7
10/13/12,48.09
10/14/12,65.8
10/15/12,51.1
10/16/12,54.61
10/17/12,63.81
10/18/12,52.81
10/19/12,47.41
10/20/12,45.39
10/21/12,47.1
10/22/12,59.31
10/23/12,64.6
10/24/12,64.29
10/25/12,70.5
10/26/12,48
10/27/12,43.39
10/28/12,43.11
10/29/12,42.91
10/30/12,43.3
10/31/12,42.8
11/1/12,43.81
11/2/12,45.1
11/3/12,42.91
11/4/12,39.9
11/5/12,39
11/6/12,36
11/7/12,42.8
11/8/12,45.1
11/9/12,45.9
11/10/12,55.8
11/11/12,63.3
11/12/12,47.19
11/13/12,32.2
11/14/12,33.91
11/15/12,38.3
11/16/12,38.19
11/17/12,41.7
11/18/12,42.3
11/19/12,47.5
11/20/12,52
11/21/12,44.29
11/22/12,50.2
11/23/12,48.99
11/24/12,29.19
11/25/12,30.7
11/26/12,35.6
11/27/12,28.09
11/28/12,31.1
11/29/12,40.5
11/30/12,45.39
12/1/12,46.4
12/2/12,59.31
12/3/12,58.1
12/4/12,62.2
12/5/12,43.39
12/6/12,35.29
12/7/12,45.61
12/8/12,42.8
12/9/12,39
12/10/12,39
12/11/12,29.8
12/12/12,30.2
12/13/12,39.51
12/14/12,37.8
